Inventory Date,ItemCode,Branch,Demand
1/7/2018,17,Edmonton F&S,36
1/7/2018,85,Sacramento Main,7
1/7/2018,124,Seattle F&S,25
1/7/2018,57,Sacramento Main,5
1/7/2018,207,Seattle F&S,618
1/7/2018,71,Atlanta F&S,442
1/7/2018,66,Baltimore F&S,204
1/7/2018,85,Sacramento Main,7
1/7/2018,208,Fontana,317
1/7/2018,208,Great Lakes CC,90
1/7/2018,208,Houston F&S,79
1/7/2018,208,Seattle F&S,508
1/7/2018,208,Tampa F&S,483
1/7/2018,208,Toronto F&S,122
1/7/2018,55,Atlanta F&S,3
1/7/2018,169,Seattle F&S,88
1/7/2018,209,Baltimore F&S,32
1/7/2018,12,Vancouver F&S,1056
1/7/2018,123,Sacramento Main,135
1/7/2018,57,Sacramento Main,5
1/7/2018,169,Toronto F&S,78
1/7/2018,209,Seattle F&S,828
1/7/2018,209,Tampa F&S,417
1/7/2018,144,Montreal F&S,61
1/7/2018,57,Atlanta F&S,81
1/7/2018,39,Vancouver F&S,8
1/7/2018,211,Fontana,540
1/7/2018,56,Fontana,6
1/7/2018,137,Sacramento Main,13
1/7/2018,211,Sacramento Main,26
1/7/2018,211,Seattle F&S,194
1/7/2018,211,Tampa F&S,92
1/7/2018,62,Sacramento Main,38
1/7/2018,192,Seattle F&S,330
1/7/2018,14,Montreal F&S,455
1/7/2018,215,Edmonton F&S,262
1/7/2018,215,Fontana,3605
1/7/2018,215,Great Lakes CC,888
1/7/2018,111,Houston F&S,210
1/7/2018,55,Fontana,4
1/7/2018,215,Sacramento Main,362
1/7/2018,215,Seattle F&S,4532
1/7/2018,215,Tampa F&S,4430
1/7/2018,208,Toronto F&S,122
1/7/2018,215,Vancouver F&S,348
1/7/2018,109,Great Lakes CC,50
1/7/2018,216,Edmonton F&S,579
1/7/2018,216,Fontana,1839
1/7/2018,71,Atlanta F&S,442
1/7/2018,216,Houston F&S,187
1/7/2018,55,Fontana,4
1/7/2018,216,Sacramento Main,570
1/7/2018,216,Seattle F&S,3227
1/7/2018,16,Fontana,2774
1/7/2018,88,Toronto F&S,101
1/7/2018,216,Vancouver F&S,710
1/7/2018,56,Atlanta F&S,10
1/7/2018,39,Vancouver F&S,8
1/7/2018,15,Sacramento Main,44
1/7/2018,11,Sacramento Main,54
1/7/2018,189,Sacramento Main,20
1/7/2018,218,Seattle F&S,243
1/7/2018,131,Sacramento Main,103
1/7/2018,124,Seattle F&S,25
1/7/2018,215,Edmonton F&S,262
1/7/2018,144,Montreal F&S,61
1/7/2018,151,Toronto F&S,126
1/7/2018,222,Sacramento Main,270
1/7/2018,63,Montreal F&S,284
1/7/2018,222,Tampa F&S,248
1/7/2018,163,Montreal F&S,18
1/7/2018,66,Sacramento Main,22
1/7/2018,57,Seattle F&S,28
1/7/2018,223,Fontana,151
1/7/2018,144,Great Lakes CC,34
1/7/2018,129,Toronto F&S,40
1/7/2018,94,Seattle F&S,24
1/7/2018,228,Baltimore F&S,447
1/7/2018,228,Edmonton F&S,1869
1/7/2018,228,Fontana,4274
1/7/2018,228,Great Lakes CC,1325
1/7/2018,111,Great Lakes CC,86
1/7/2018,15,Houston F&S,65
1/7/2018,228,Sacramento Main,332
1/7/2018,228,Seattle F&S,2300
1/7/2018,228,Tampa F&S,3482
1/7/2018,228,Toronto F&S,790
1/7/2018,228,Vancouver F&S,360
1/7/2018,230,Baltimore F&S,100
1/7/2018,39,Vancouver F&S,8
1/7/2018,56,Tampa F&S,16
1/7/2018,71,Sacramento Main,110
1/7/2018,55,Fontana,4
1/7/2018,231,Baltimore F&S,1462
1/7/2018,163,Toronto F&S,973
1/7/2018,231,Fontana,13184
1/7/2018,231,Great Lakes CC,2402
1/7/2018,111,Fontana,1995
1/7/2018,144,Great Lakes CC,34
1/7/2018,231,Montreal F&S,4647
1/7/2018,231,Sacramento Main,1083
1/7/2018,231,Seattle F&S,15898
1/7/2018,231,Tampa F&S,7245
1/7/2018,231,Toronto F&S,1490
1/7/2018,231,Vancouver F&S,1969
1/7/2018,193,Fontana,139
1/7/2018,208,Toronto F&S,122
1/7/2018,233,Seattle F&S,46
1/7/2018,55,Seattle F&S,15
