Branch,ItemCode,Week 1,Week 2,Week 3,Week 4,Monthly Demand
Sacramento Main,10681,127.0,127.0,127.0,104.0,-23.0
Seattle F&S,10681,34.0,34.0,34.0,34.0,0.0
Tampa F&S,10681,240.0,240.0,240.0,240.0,0.0
Atlanta F&S,10682,1.0,1.0,1.0,1.0,0.0
Fontana,10682,6.0,6.0,6.0,6.0,0.0
Great Lakes CC,10682,2.0,2.0,2.0,2.0,0.0
Linden,10682,49.0,49.0,49.0,49.0,0.0
Sacramento Main,10682,50.0,50.0,50.0,50.0,0.0
Tampa F&S,10682,241.0,241.0,241.0,241.0,0.0
Linden,10683,15.0,15.0,15.0,15.0,0.0
Sacramento Main,10683,7.0,6.0,6.0,6.0,-1.0
Seattle F&S,10683,4.0,4.0,4.0,4.0,0.0
Tampa F&S,10683,8.0,8.0,8.0,8.0,0.0
Sacramento Main,10684,18.0,18.0,18.0,18.0,0.0
Tampa F&S,10684,80.0,80.0,80.0,80.0,0.0
Atlanta F&S,10696,1261.0,1261.0,1258.0,1258.0,-3.0
Baltimore F&S,10696,26.0,26.0,26.0,26.0,0.0
Fontana,10696,3224.0,2899.0,2899.0,2899.0,-325.0
Houston F&S,10696,400.0,400.0,400.0,400.0,0.0
Linden,10696,458.0,458.0,458.0,458.0,0.0
Sacramento Main,10696,1369.0,1208.0,1074.0,981.0,-388.0
Seattle F&S,10696,856.0,823.0,852.0,906.0,50.0
Tampa F&S,10696,736.0,733.0,292.0,292.0,-444.0
Atlanta F&S,10697,34.0,34.0,34.0,34.0,0.0
Fontana,10697,100.0,100.0,100.0,100.0,0.0
Linden,10697,86.0,86.0,86.0,86.0,0.0
Sacramento Main,10697,27.0,27.0,27.0,27.0,0.0
Montreal F&S,10701,203.0,191.0,189.0,189.0,-14.0
Seattle F&S,10707,2.0,2.0,2.0,2.0,0.0
Atlanta F&S,10710,1.0,1.0,1.0,1.0,0.0
Great Lakes CC,10710,2.0,2.0,2.0,2.0,0.0
Atlanta F&S,10716,2.0,2.0,2.0,2.0,0.0
Great Lakes CC,10716,2.0,2.0,2.0,2.0,0.0
Sacramento Main,10716,22.0,22.0,15.0,7.0,-15.0
Tampa F&S,10716,2.0,2.0,2.0,2.0,0.0
Atlanta F&S,10717,1.0,1.0,1.0,1.0,0.0
Great Lakes CC,10717,2.0,2.0,2.0,2.0,0.0
Tampa F&S,10717,2.0,2.0,2.0,2.0,0.0
Atlanta F&S,10719,2.0,2.0,2.0,2.0,0.0
Great Lakes CC,10719,4.0,4.0,4.0,4.0,0.0
Tampa F&S,10719,4.0,4.0,3.0,3.0,-1.0
Atlanta F&S,10720,1.0,1.0,1.0,1.0,0.0
Great Lakes CC,10720,18.0,18.0,18.0,18.0,0.0
Tampa F&S,10720,14.0,14.0,6.0,6.0,-8.0
Atlanta F&S,10721,2.0,2.0,2.0,2.0,0.0
Great Lakes CC,10721,2.0,2.0,2.0,2.0,0.0
Tampa F&S,10721,2.0,2.0,1.0,1.0,-1.0
Atlanta F&S,10722,1.0,1.0,1.0,1.0,0.0
Great Lakes CC,10722,2.0,2.0,2.0,2.0,0.0
Tampa F&S,10722,2.0,2.0,1.0,1.0,-1.0
Fontana,10741,10.0,0.0,0.0,0.0,-10.0
Baltimore F&S,10747,2.0,2.0,2.0,2.0,0.0
Fontana,10753,1.0,1.0,1.0,1.0,0.0
Linden,10753,2.0,2.0,2.0,2.0,0.0
Sacramento Main,10753,4.0,4.0,4.0,4.0,0.0
Linden,10754,26.0,26.0,26.0,26.0,0.0
Seattle F&S,10754,27.0,27.0,27.0,26.0,-1.0
Tampa F&S,10754,22.0,22.0,22.0,0.0,-22.0
Sacramento Main,10755,10.0,10.0,10.0,9.0,-1.0
Sacramento Main,10757,36.0,36.0,36.0,28.0,-8.0
Linden,10763,26.0,26.0,26.0,26.0,0.0
Fontana,10767,496.0,496.0,496.0,496.0,0.0
Houston F&S,10767,400.0,400.0,400.0,400.0,0.0
Linden,10767,214.0,214.0,214.0,214.0,0.0
Sacramento Main,10767,150.0,150.0,150.0,138.0,-12.0
Seattle F&S,10767,75.0,75.0,75.0,75.0,0.0
Tampa F&S,10767,38.0,38.0,38.0,38.0,0.0
Fontana,10768,500.0,500.0,500.0,500.0,0.0
Houston F&S,10768,400.0,400.0,400.0,400.0,0.0
Sacramento Main,10768,1525.0,1525.0,1525.0,1525.0,0.0
Atlanta F&S,10777,1273.0,1273.0,1269.0,1269.0,-4.0
Baltimore F&S,10777,25.0,25.0,25.0,25.0,0.0
