InventoryDate,ItemCode,Branch,InventoryQuantity
1/7/2018,3991,Atlanta F&S,190729
1/7/2018,3994,Atlanta F&S,7751
1/7/2018,3995,Atlanta F&S,16074
1/7/2018,3996,Atlanta F&S,497
1/7/2018,3997,Atlanta F&S,49736
1/7/2018,3998,Atlanta F&S,7511
1/7/2018,3999,Atlanta F&S,59077
1/7/2018,40,Atlanta F&S,6
1/7/2018,4003,Atlanta F&S,10000
1/7/2018,4004,Atlanta F&S,217160
1/7/2018,4005,Atlanta F&S,216290
1/7/2018,4011,Atlanta F&S,9905
1/7/2018,4012,Atlanta F&S,315
1/7/2018,4013,Atlanta F&S,710
1/7/2018,4021,Atlanta F&S,131
1/7/2018,403,Atlanta F&S,225
1/7/2018,4045,Atlanta F&S,167163
1/7/2018,4046,Atlanta F&S,95211
1/7/2018,4054,Atlanta F&S,11
1/7/2018,406,Atlanta F&S,66
1/7/2018,4060,Atlanta F&S,73115
1/7/2018,4061,Atlanta F&S,4054
1/7/2018,4062,Atlanta F&S,18
1/7/2018,4063,Atlanta F&S,14
1/7/2018,4068,Atlanta F&S,19
1/7/2018,4070,Atlanta F&S,61
1/7/2018,4074,Atlanta F&S,67
1/7/2018,4075,Atlanta F&S,75
1/7/2018,408,Atlanta F&S,603
1/7/2018,4087,Atlanta F&S,35704
1/7/2018,409,Atlanta F&S,1230
1/7/2018,41,Atlanta F&S,50
1/7/2018,410,Atlanta F&S,1212
1/7/2018,411,Atlanta F&S,857
1/7/2018,412,Atlanta F&S,146
1/7/2018,4121,Atlanta F&S,14575
1/7/2018,416,Atlanta F&S,8
1/7/2018,417,Atlanta F&S,64
1/7/2018,418,Atlanta F&S,254
1/7/2018,4191,Atlanta F&S,1564
1/7/2018,42,Atlanta F&S,194
1/7/2018,420,Atlanta F&S,172
1/7/2018,422,Atlanta F&S,71
1/7/2018,4239,Atlanta F&S,2064
1/7/2018,424,Atlanta F&S,1904
1/7/2018,425,Atlanta F&S,910
1/7/2018,426,Atlanta F&S,435
1/7/2018,427,Atlanta F&S,1046
1/7/2018,428,Atlanta F&S,738
1/7/2018,429,Atlanta F&S,919
1/7/2018,43,Atlanta F&S,4
1/7/2018,430,Atlanta F&S,62
1/7/2018,4352,Atlanta F&S,4612
1/7/2018,4353,Atlanta F&S,90
1/7/2018,4355,Atlanta F&S,446
1/7/2018,436,Atlanta F&S,227
1/7/2018,4361,Atlanta F&S,500
1/7/2018,4362,Atlanta F&S,9223
1/7/2018,4363,Atlanta F&S,11035
1/7/2018,4364,Atlanta F&S,6609
1/7/2018,4366,Atlanta F&S,1950
1/7/2018,437,Atlanta F&S,56
1/7/2018,4381,Atlanta F&S,4268
1/7/2018,440,Atlanta F&S,31
1/7/2018,45004X04,Atlanta F&S,33
1/7/2018,45004X05,Atlanta F&S,33
1/7/2018,45004X06,Atlanta F&S,43
1/7/2018,45004X07,Atlanta F&S,48
1/7/2018,45004X08,Atlanta F&S,68
1/7/2018,45004X09,Atlanta F&S,92
1/7/2018,45004X10,Atlanta F&S,78
1/7/2018,45004X105,Atlanta F&S,34
1/7/2018,45004X11,Atlanta F&S,8
1/7/2018,45004X12,Atlanta F&S,84
1/7/2018,45004X13,Atlanta F&S,122
1/7/2018,45004X14,Atlanta F&S,547
1/7/2018,45004X15,Atlanta F&S,20
1/7/2018,45004X16,Atlanta F&S,268
1/7/2018,45004X17,Atlanta F&S,20
1/7/2018,45004X18,Atlanta F&S,360
1/7/2018,45004X19,Atlanta F&S,16
1/7/2018,45004X20,Atlanta F&S,20
1/7/2018,45004X21,Atlanta F&S,4
1/7/2018,45004X22,Atlanta F&S,226
1/7/2018,45004X24,Atlanta F&S,52
1/7/2018,45017,Atlanta F&S,1350
1/7/2018,456,Atlanta F&S,28
1/7/2018,457,Atlanta F&S,469
1/7/2018,458,Atlanta F&S,1718
1/7/2018,459,Atlanta F&S,1445
1/7/2018,460,Atlanta F&S,42
1/7/2018,461,Atlanta F&S,6521
1/7/2018,462,Atlanta F&S,23723
1/7/2018,463,Atlanta F&S,18852
1/7/2018,4637,Atlanta F&S,100
1/7/2018,4658,Atlanta F&S,543
1/7/2018,466,Atlanta F&S,7900
1/7/2018,4665,Atlanta F&S,1042
1/7/2018,468,Atlanta F&S,3
1/7/2018,469,Atlanta F&S,1388
1/7/2018,47,Atlanta F&S,6
1/7/2018,47004,Atlanta F&S,14
1/7/2018,47013,Atlanta F&S,71
1/7/2018,47016,Atlanta F&S,80
1/7/2018,47100,Atlanta F&S,28
1/7/2018,472,Atlanta F&S,80
1/7/2018,474,Atlanta F&S,31649
1/7/2018,47409,Atlanta F&S,25
1/7/2018,47413,Atlanta F&S,19
1/7/2018,47416,Atlanta F&S,4
1/7/2018,475,Atlanta F&S,614
1/7/2018,476,Atlanta F&S,314
1/7/2018,47704,Atlanta F&S,19
1/7/2018,47710,Atlanta F&S,27
1/7/2018,47712,Atlanta F&S,27
1/7/2018,47950,Atlanta F&S,22
1/7/2018,4842,Atlanta F&S,156
1/7/2018,511,Atlanta F&S,55940
1/7/2018,5127,Atlanta F&S,7
1/7/2018,513,Atlanta F&S,9120
1/7/2018,515,Atlanta F&S,62
1/7/2018,5160,Atlanta F&S,131
1/7/2018,519,Atlanta F&S,45
1/7/2018,521,Atlanta F&S,2087
1/7/2018,525,Atlanta F&S,46
1/7/2018,526,Atlanta F&S,4
1/7/2018,529,Atlanta F&S,2
1/7/2018,5290,Atlanta F&S,539
1/7/2018,530,Atlanta F&S,198
1/7/2018,532,Atlanta F&S,126
1/7/2018,533,Atlanta F&S,46
1/7/2018,534,Atlanta F&S,36
1/7/2018,538,Atlanta F&S,7
1/7/2018,539,Atlanta F&S,3
1/7/2018,540,Atlanta F&S,56
