ItemCode,Branch,InventoryQuantity
940827,Toronto F&S,8
940828,Toronto F&S,40
09AA,Linden,23
09AA,USD Region Offices,8
09H,USD Region Offices,48
09J,USD Region Offices,242
09K,USD Region Offices,4066
100,Fontana,11
100002,Baltimore F&S,27
100037,Fontana,340
100037,Houston F&S,525
100037,Seattle F&S,128
100037,Tampa F&S,260
100040,Atlanta F&S,78346
100040,Baltimore F&S,8213
100040,Great Lakes CC,96
100040,Houston F&S,105371
100040,Tampa F&S,153510
100048,Baltimore F&S,46
100058,Baltimore F&S,398
100062,Baltimore F&S,295
100062,Houston F&S,1804
100075,Edmonton F&S,16
100097,Edmonton F&S,107
100097,Toronto F&S,20
100097,Vancouver F&S,404
100138,Baltimore F&S,840
100138,Edmonton F&S,180
100138,Houston F&S,1002
100138,USD Region Offices,1302
100139,Baltimore F&S,1680
100139,Edmonton F&S,420
100139,Fontana,16
100139,Seattle F&S,300
100139,USD Region Offices,568
100144,Atlanta F&S,18
100144,Baltimore F&S,66
100144,Edmonton F&S,2
100144,Fontana,3
100144,Great Lakes CC,8
100144,Houston F&S,249
100144,Sacramento Main,1
100144,Seattle F&S,6
100144,Tampa F&S,7
100144,Toronto F&S,71
100144,USD Region Offices,40
100144,Vancouver F&S,42
100321,Fontana,30
100451,Baltimore F&S,2
100451,Fontana,2
100451,Great Lakes CC,12
100451,Toronto F&S,2
100451,USD Region Offices,4
100529,Atlanta F&S,79
100529,Baltimore F&S,200
100529,Seattle F&S,1300
100752,Fontana,532
100752,Seattle F&S,4
10095,Atlanta F&S,90
10096,Atlanta F&S,26
101,Fontana,60
101,Toronto F&S,165
1011000,Houston F&S,6712
1013400,Fontana,3
1013400,Houston F&S,4592
1014200,Fontana,2071
1014200,Houston F&S,5198
1014300,Fontana,867
1014300,Houston F&S,3316
1014400,Fontana,348
10145,Seattle F&S,90
1014600,Fontana,230
1014600,Houston F&S,10477
10148,Baltimore F&S,15
10151,Atlanta F&S,196
10152,Fontana,246
10153,Fontana,203
10163,Sacramento Main,24
10174,Houston F&S,30
10174,Toronto F&S,56
10177,Edmonton F&S,50
10177,Houston F&S,28
10177,Tampa F&S,1
10177,Toronto F&S,120
10185,Sacramento Main,21
10185,Seattle F&S,21
10186,Fontana,26
10186,Sacramento Main,8
10186,Seattle F&S,40
10186,USD Region Offices,10
10187,Fontana,100
10187,Sacramento Main,225
10187,Seattle F&S,133
10187,USD Region Offices,38
10188,Sacramento Main,10
10188,Seattle F&S,39
10189,Sacramento Main,68
10189,Seattle F&S,187
10189,USD Region Offices,116
10190,Fontana,165
10190,Sacramento Main,129
10190,Seattle F&S,219
10190,USD Region Offices,64
10191,USD Region Offices,1402
10192,USD Region Offices,1356
10196,Seattle F&S,58
10196,USD Region Offices,288
10197,USD Region Offices,3440
10198,USD Region Offices,222
10199,USD Region Offices,2102
102,Atlanta F&S,1
10200,USD Region Offices,2206
10201,USD Region Offices,2656
10203,USD Region Offices,902
10204,Houston F&S,87
10206,USD Region Offices,864
10207,Fontana,1546
10209,USD Region Offices,4
10210,USD Region Offices,14
10211,USD Region Offices,2
10212,Fontana,6
10212,Seattle F&S,144
10213,Fontana,54
10213,Seattle F&S,25
10214,Fontana,3
10215,Seattle F&S,6
10217,Sacramento Main,9
10217,Seattle F&S,1
10218,Sacramento Main,5
10219,Seattle F&S,27
10224,Seattle F&S,1000
10225,Seattle F&S,1000
10237,Toronto F&S,37
10239,Baltimore F&S,1327
10240,Baltimore F&S,2668
10240,Seattle F&S,307
10241,Baltimore F&S,73
10241,Seattle F&S,632
10243,Atlanta F&S,115
10243,Baltimore F&S,6
10243,Edmonton F&S,75
10243,Fontana,3
10243,Great Lakes CC,11
10243,Houston F&S,335
10243,Sacramento Main,28
10243,Seattle F&S,228
10243,Tampa F&S,355
10243,Toronto F&S,173
10243,Vancouver F&S,262
10248,Montreal F&S,373
10248,Toronto F&S,75
10251,Tampa F&S,206
10251,Toronto F&S,120
10252,Sacramento Main,1357
10252,Tampa F&S,64
10252,Toronto F&S,120
10257,Sacramento Main,3
10257,USD Region Offices,2
10260,Seattle F&S,439
10261,Seattle F&S,300
10276,Sacramento Main,9
10276,Seattle F&S,2
