ItemCode,InventoryQuantity
1990622,12
1990623,1694
1990626,1062
1990627,120
1990629,48
1990633,84
1990645,4
1990654,18
1990655,92
1990656,52
1990665,24
1990666,12
1990667,12
1990668,84
1990700,52
1990705,826
1990715,42
1990800,64
1990801,483
1990810,18
1990830,25
1990845,586
1990890,20
1991100,1673
1991105,2088
1991110,761
1991115,134
1991120,20
1991170,12
1991200,306
1991285,338
1991300,94
1991310,19
1991311,52
1991312,52
1991320,24
1991350,40
1991360,453
1991370,4272
1991410,34
1991425,88
1991434,4
1991439,210
1991444,8
1991456,8
1991457,8
1991458,196
1991467,68
1991503,148
1991517,80
1991570,98
1991630,128
1997151,30958
20,8
200,12
201,5365
201A,147507
201AS,1620
201D,443
201JJX14,251
201JX14,20118
201JX2W,4483
201JX68,9764
201JX8,4199
201P,136234
201PS,3295
202,241
202E,81815
202EE,182494
202JX11,4
202JX12,1683
202K,1034
203,2769
203A,64
203C,32730
203CH,4845
203D,37053
203DH,2931
203E,13979
203EH,896
204,3329
2042,108
2048,2
2049,2483
204A,112580
204EXS,58715
204F,5589
204G,2551
205,5333
2050,943
2054,1571
205A,12
205C,1288
206,12
2067035,852
2067048,832
207,6731
208,4658
2081,1200
2082,370
2083,5475
2084,498
208N,529
209,5849
2090,50
2091,10
2099,64
21,848
2103,6
2105,61
211,3679
2124902,34
2124907,136
2125139,180
2125147,1602
2125148,2124
2125249,495
2125250,1259
2125251,152
2125288,818
2125289,232
2125290,1250
2125291,525
2125312,242
2125503,16
2125647,1234
2125648,309
2127215,92
2127500,22
2127502,90
2127510,32
2127522,92
2127523,12
2127524,100
2127525,12
2127527,80
2127543,50
2127617,24
2127679,12
2127711,30
2127712,4
2127718,6
2127753,56
2127754,8
2127777,18
2127958,14
2127999,16
2134,600
2135,13688
2136,559
214,540
2149,30
215,22946
2150,137
2151,3
2152,27
216,16797
2160700,806
2168,27527
2169,681
217,5231
2171,16375
2175,102
217A,5
217C,10168
217D,12475
217E,3898
218,17478
2182,1626
2183,39293
2184,74698
2185,12197
2186,62687
2187,7916
2188,100
2189,15809
2194,12634
2195,6
2196,1454
2197,65
22,17
220,12859
2200,16344
2200067,2
2202,5314
2203,14763
2204,4932
2205,3256
2206,34
2207,307
2208,908
2209,4101
221,26
2210,14
2211,1405
2211003,10515
2211012,140
2211030,3
2211031,8
2211061,128
2211090,2414
2211095,5921
2211100,601
2211150,1
2211156,3746
2211165,2028
2211310,3207
2211360,240
2211370,677
2211560,8
2211569,8
2211625,42
2212,7586
2213,4582
2214,3830
2215,553
2216,840
2217,1145
222,3827
2220010,45427
2220020,31937
2220030,39965
2220040,12848
2220041,10554
2220050,6381
2220055,2572
2220060,881
2220070,1628
2220075,2542
2220080,5148
2220090,1160
2220100,2469
2220100B,2327
2220111,200
2220120,10494
2220125,14399
2220130,5594
2220140,5470
2220145,2155
2220170,3072
2220171,17636
2220172,1902
2220173,1881
2222,18
2225,32
223,2832
2233,3194
2235,212
224,22656
2242,1027
2243,100
2244,238
226,3611
2261,550401
2263,136319
2264,220534
2265,123360
2267,4794
2268,3812
2269,4381
227,7
227001,19
2273,2547
2275,43916
2276,175711
228,69166
2281,1800
229,70018
229001,154
23,41
230,10635
231,78750
232,7729
233,392
234,73671
235,12159
236,1713
237,24926
238,69290
239,249910
24,3
2402K,527
2403C,23159
2403D,25020
2403E,12541
2403X1,5000
2403X10,4063
2403X2,11120
2403X31,1500
2403X32,1500
2403X9,4000
2404A,68660
2404B,8959
2404FS,28
241,30538
243,231
24387,91
244,155
245,7715
246,5517
247,1591
249,677
25,20
250,5114
254,660
255,1658
257,17326
258,33223
259,20266
25X011,578
25X015,523
25X025,5
25X026,45
25X027,7
25X029,1
25X031,14
25X040,3
25X049,12
25X050,1
25X056,25
25X058,2
25X072,8
25X089,25
25X090,12
25X093,22
26,3
260,209
261,79083
262,3753
263,65655
265,104508
266,128
267,130
268,36
269,13
27,647
271,57
272,12
273,109
277,622
278,3499
280,349
282,4043
285,4556
286,3987
287,5300
288,33938
289,9292
29,184
290,34
293,47
296,5671
297,855
299,216
30,419
300776,100
302,34
304,929
306,54
308,210
311,1
316,330
317,705
318,969
320,164
325,324
326,6
327,3922
328,726
329,1496
331,949
332,589
3328,6172
333,1858
3332,1818
3333,210
3336,2852
334,16606
3343,5657
3346,557
335,2911
3350,263
3351,299
3354,16
3355,201
3358,202
336,1074
3360,18443
3364,690
3368,478
337,14962
3371,6021
3372,221
3374,2358
338,8885
3383,108
3384,3583
339,8200
3399,490
340,1256
3403,206
3405,112702
3406,135026
3407,46279
341,192
3412,1039
3413,44
3415,9262
3417,718
3418,6625
3419,10194
3420,4807
3421,30840
3422,2218
3423,4689
3428,798
3429,745
343,2480
3432,67
344,1888
3442,113977
3447,4601
3448,90731
345,198
3458,40
3459,4
346,2148
3464,1454
3467,260050
3468,106585
3469,731
3475,21243
3476,34213
3477,1588
3479,28044
348,968
3480,10439
3481,26233
3484,24
3488,13
349,2443
3492,130
3497,9971
3498,81
3499,129
350,5091
3500,62
351,6070
352,29573
3521,14
353,4442
3539,90
354,1457
3540,152188
3541,4606
3542,31240
3548,1380
3550,18086
3552,2900
3555,4790
3556,40
3557,77188
3558,3559
3559,5942
356,3005
3560,438
3561,232
3564,85
3567,750
3568,28091
357,32
3571,5318
3572,217
3573,557
3574,77
3575,918
3577,13
3578,118
3579,63
358,5204
3580,191
3581,1201
3582,204
3583,814
3584,714
3585,579
3586,323
3587,629
3588,416
359,5637
3590,228
3591,2337
3592,215
3593,1606
3594,203
3595,447
3596,739
3597,390
3598,371
3599,846
36,1008
360,682
3600,4103
3601,1526
3602,1336
3603,496
3604,499
3605,713
3606,426512
3608,80
3609,456
361,3254
3610,226
3611,196
3613,208
3614,47
3615,60
3616,118
3617,149
3618,54
3619,52
362,2859
3623,95
3626,15175
3627,316
363,40
3631,507
364,66
365,3512
3657,66550
366,1283
3661,450
367,8
368,1106
3682,147
3684,10063
369,5725
3693,175
3698,3135
37,666
370,6506
371,1540
3718,383
3720,2072
3721,32126
3722,74
3724,32
3725,28
3729,300
373,725
3730,136
3731,900
3732,24
3733,650
3734,650
3739,1003
374,473
3740,275
375,80
376,82
377,44
378,41
379,58
38,760
380,63
381,36018
387,51
388,88
389,556
39,289
390,21
3902,51733
391,44
3912,827
392,101
393,5889
394,647
395,784
396,4784
397,1173
3972,34
3973,253
3975,3316
3981,488702
3982,429
3983,34218
3984,29898
3985,294748
3986,6013
3987,644734
3989,50228
3991,1016544
3993,1226
3994,21019
3995,40198
3996,15380
3997,179922
3998,28730
3999,210065
40,6
4000,27
40002R,2
40005L,2
4001,180
4002,180
4003,15100
4004,756557
4005,725346
4006,1500
4011,700755
4012,2058
4013,23280
4013B,10000
4014,4960
401X1,458
401X5,1157
401X6,9425
401X9,137
40202,9
4021,86537
403,225
40306,171
40314T,2
403X1,186
403X2,376
403X5,626
404,26
4045,861414
4046,876260
4046U,85246
404X1,150
404X3,157
404X5,3902
4054,675
4056,1862
406,66
4060,115131
4061,4054
4062,18
4063,814
4068,19
4070,205
4074,93
4075,106
408,961
40802,113
4087,234742
408780,9
409,1297
409X1,37
409X2,121
41,64
410,1443
410X4,6
411,869
4117,92
4119,815
412,198
4121,225020
416,8
417,72
418,254
4191,14814
42,496
420,172
420000,510
422,71
4237,150
4239,7955
424,1904
425,904
4253,52
4257,135
426,435
427,1056
428,750
429,920
43,33
430,62
4351,54208
4352,104983
4353,2389
4354,20787
4355,18919
436,5689
4361,247220
4362,102925
4363,136185
4364,88330
4365,9639
4366,3408
4367,932
4369,308
437,12831
438,383
4381,243078
439,104
440,31
446000,2
446033,2
446044,1
446055,3
448000,178
448010,40
448227,33
45,82
450021US,54
45004X03,2936
45004X04,10576
45004X05,14924
45004X06,44016
45004X07,25709
45004X08,39536
45004X09,18173
45004X10,30961
45004X105,1839
45004X11,11399
45004X12,20917
45004X13,4338
45004X14,17338
45004X15,2346
45004X16,6239
45004X17,1295
45004X18,4038
45004X19,692
45004X20,1568
45004X21,196
45004X22,1784
45004X23,87
45004X24,210
45004X25,2
45004X28,12
45010,404
45017,222462
45017U,8674
450617,8
450764,2
450786,2
450X3,25931
450X7,786
451817USXF,142
451817USXFJ,135
451817USXJ,141
451975US,16
452,800
452053,4
453,62
453437,2
4537,4887
4538,7332
4539,3763
4541,174
4542,15190
456,106
457,2003
458,5829
458175,12
458197,4
458201,9
458223,5
458245,2
459,4779
46,5
460,606
46001X03,832
46001X04,680
46001X05,431
46001X06,5107
46001X07,1370
46001X08,7055
46001X09,907
46001X10,6488
46001X11,260
46001X12,11934
46001X13,555
46001X14,1193
46001X15,65
46001X16,6659
46001X17,15
46001X18,92
46001X20,303
46001X21,17
46001X24,7
46001X32,30
461,16412
462,55604
463,57559
4637,100
464,162
464600,96
465,226
465410,36
4655,9880
4657,14
4658,7290
466,25823
4664,4380
4665,3294
4666,2
467,27
467898,46
468,3
4683,4
469,10615
469566,6124
47,68
470002,79
470013,24
470024,69
47003,279
470035,61
47004,32
470046,67
47005,11
470057,61
47006,3093
47007,23
47008,41
47009,3222
47010,1
47011,688
47012,5
47013,3627
47016,2354
4708,41
470881,26
470892,81
470930,128
47100,4364
47150A,1043
47150B,1342
47160,101
47170,100
47180,200
472,763
47200,396
473,41
474,107101
47403,10
47406,222
47409,258
47411,5
47413,570
47416,110
475,12121
47506,92
47507,70
47509,250
47513,225
475781,128
475910,3
476,33352
47600,10237
4765,1
4766,4095
4767,43
4768,8467
4770,39
47704,44
47706,42
47708,228
47710,299
47712,93
47800,5678
47801,24378
47802,10060
4781,3002
4789,4
47900,1484
479264,5628
4794,38495
47950,1158
4797,101278
4798,111766
4799,80038
4800,1205
4802,12
4803,2050
48200,1043
48344,4
4841,3490
4842,31974
4851,190
4852,637
485435,42
487673,10
489000,1712
490,28
493,42
4937,600
497,466
498,408
4994,4
4995,8
4998,470
5003,393
5017,36
5030,21
506,572
50608,20
506463,205
506555,16
510,122
5102,6
5103,449
511,159797
5123,342
5127,124
5128,136
513,113054
5131,16
515,4940
516,26400
5160,29536
518,507
5188,35
519,19774
520,2
521,159300
5220,247
5248,194
525,743
525759,4
525760,10
525781,4
525792,9
